Name: 'AC Milan' | Logo: 'None'
Name: 'AD Ceuta' | Logo: '/images/Liga Hypermotion/Ceuta.png'
Name: 'Alavés' | Logo: '/images/Liga EaSports/alavés.png'
Name: 'Albacete' | Logo: '/images/Liga Hypermotion/Albacete.png'
Name: 'Almería' | Logo: '/images/Liga Hypermotion/UD Almeria.png'
Name: 'Andorra' | Logo: '/images/Liga Hypermotion/Andorra.png'
Name: 'Arsenal' | Logo: 'None'
Name: 'Aston Villa' | Logo: 'None'
Name: 'Atalanta' | Logo: 'None'
Name: 'Athletic Club' | Logo: '/images/Liga EaSports/athletic de bilbao.png'
Name: 'Atlético de Madrid' | Logo: '/images/Liga EaSports/atletico de madrid .png'
Name: 'Augsburg' | Logo: 'None'
Name: 'Barcelona' | Logo: '/images/Liga EaSports/barcelona.png'
Name: 'Bayern Munich' | Logo: 'None'
Name: 'Betis' | Logo: 'https://media.api-sports.io/football/teams/543.png'
Name: 'Bologna' | Logo: 'None'
Name: 'Bournemouth' | Logo: 'None'
Name: 'Brentford' | Logo: 'None'
Name: 'Brighton' | Logo: 'None'
Name: 'Burgos CF' | Logo: '/images/Liga Hypermotion/Burgos.png'
Name: 'Burnley' | Logo: 'None'
Name: 'Cagliari' | Logo: 'None'
Name: 'Castellón' | Logo: '/images/Liga Hypermotion/castellón.png'
Name: 'Celta de Vigo' | Logo: 'https://media.api-sports.io/football/teams/538.png'
Name: 'Chelsea' | Logo: 'None'
Name: 'Como' | Logo: 'None'
Name: 'Crystal Palace' | Logo: 'None'
Name: 'Cultural Leonesa' | Logo: '/images/Liga Hypermotion/Cultural Leonesa.png'
Name: 'Cádiz' | Logo: '/images/Liga Hypermotion/Cadiz.png'
Name: 'Córdoba' | Logo: '/images/Liga Hypermotion/Cordoba.png'
Name: 'Deportivo de La Coruña' | Logo: '/images/Liga Hypermotion/Deportivo la Coruña.png'
Name: 'Dortmund' | Logo: 'None'
Name: 'Eibar' | Logo: '/images/Liga Hypermotion/Eibar.png'
Name: 'Eintracht Frankfurt' | Logo: 'None'
Name: 'Elche' | Logo: 'https://media.api-sports.io/football/teams/797.png'
Name: 'Empoli' | Logo: 'None'
Name: 'Espanyol' | Logo: 'https://media.api-sports.io/football/teams/540.png'
Name: 'Everton' | Logo: 'None'
Name: 'FC Koln' | Logo: 'None'
Name: 'Fiorentina' | Logo: 'None'
Name: 'Freiburg' | Logo: 'None'
Name: 'Fulham' | Logo: 'None'
Name: 'Genoa' | Logo: 'None'
Name: 'Getafe' | Logo: '/images/Liga EaSports/Getafe.png'
Name: 'Girona' | Logo: '/images/Liga EaSports/girona.png'
Name: 'Gladbach' | Logo: 'None'
Name: 'Granada' | Logo: '/images/Liga Hypermotion/Granada.png'
Name: 'Hamburgo' | Logo: '/images/Bundesliga/hamburgo.png'
Name: 'Heidenheim' | Logo: '/images/Bundesliga/heidenheim.png'
Name: 'Hellas Verona' | Logo: 'None'
Name: 'Hoffenheim' | Logo: 'None'
Name: 'Huesca' | Logo: '/images/Liga Hypermotion/Huesca.png'
Name: 'Inter' | Logo: 'None'
Name: 'Juventus' | Logo: 'None'
Name: 'Las Palmas' | Logo: '/images/Liga Hypermotion/las palmas.png'
Name: 'Las Palmas' | Logo: '/images/Liga Hypermotion/las palmas.png'
Name: 'Lazio' | Logo: 'None'
Name: 'Lecce' | Logo: '/images/Serie A/lecce.png'
Name: 'Leeds United' | Logo: 'None'
Name: 'Leganés' | Logo: '/images/Liga Hypermotion/Leganes.png'
Name: 'Leganés' | Logo: '/images/Liga Hypermotion/Leganes.png'
Name: 'Levante' | Logo: '/images/Liga EaSports/levante.png'
Name: 'Leverkusen' | Logo: 'None'
Name: 'Liverpool' | Logo: 'None'
Name: 'Mainz 05' | Logo: 'None'
Name: 'Mallorca' | Logo: 'https://media.api-sports.io/football/teams/798.png'
Name: 'Man City' | Logo: 'None'
Name: 'Man Utd' | Logo: 'None'
Name: 'Mirandés' | Logo: '/images/Liga Hypermotion/Mirandes.png'
Name: 'Monza' | Logo: 'None'
Name: 'Málaga' | Logo: '/images/Liga Hypermotion/malaga.png'
Name: 'Napoli' | Logo: 'None'
Name: 'Newcastle' | Logo: 'None'
Name: 'Nottm Forest' | Logo: 'None'
Name: 'Osasuna' | Logo: 'https://media.api-sports.io/football/teams/727.png'
Name: 'Parma' | Logo: 'None'
Name: 'R. Racing Club' | Logo: 'None'
Name: 'RB Leipzig' | Logo: 'None'
