id,jornada,local,visitante,goles_local,goles_visitante,goleadores,asistencias,penaltis,alineacion_local,alineacion_visitante,amarillas,rojas,suspension_5_amarillas,lesiones,tarjetas_staff
1,1,Tottenham,Luton Town,3,3,Jugador206;Jugador8;Jugador57;Jugador72;Jugador245;Jugador259,Jugador64;Jugador270;Jugador53;Jugador151;Jugador255,Jugador206 (penalti),"Jugador284,Jugador234,Jugador161,Jugador241,Jugador293,Jugador353,Jugador145,Jugador279,Jugador153,Jugador118,Jugador369","Jugador377,Jugador147,Jugador340,Jugador104,Jugador67,Jugador42,Jugador247,Jugador143,Jugador387,Jugador384,Jugador317",Jugador25;Jugador219,,,,
2,1,Arsenal,Brighton,3,0,Jugador99;Jugador343;Jugador262,Jugador227;Jugador194,,"Jugador126,Jugador399,Jugador341,Jugador249,Jugador158,Jugador351,Jugador105,Jugador103,Jugador193,Jugador80,Jugador256","Jugador293,Jugador86,Jugador83,Jugador140,Jugador382,Jugador79,Jugador138,Jugador42,Jugador245,Jugador296,Jugador359",Jugador290;Jugador399;Jugador135;Jugador366;Jugador140;Jugador394,Jugador109,Jugador135 (pierde próximo partido),,
3,1,Crystal Palace,Aston Villa,2,4,Jugador72;Jugador209;Jugador193;Jugador187;Jugador383;Jugador357,Jugador2;Jugador86;Jugador213;Jugador231;Jugador57,Jugador72 (penalti),"Jugador244,Jugador51,Jugador238,Jugador48,Jugador220,Jugador392,Jugador283,Jugador389,Jugador242,Jugador383,Jugador375","Jugador191,Jugador195,Jugador334,Jugador107,Jugador149,Jugador118,Jugador218,Jugador26,Jugador258,Jugador188,Jugador269",Jugador53,Jugador171,,,
4,1,West Ham,Fulham,1,3,Jugador109;Jugador307;Jugador265;Jugador58,Jugador288;Jugador98;Jugador28,,"Jugador32,Jugador200,Jugador363,Jugador183,Jugador110,Jugador166,Jugador68,Jugador337,Jugador309,Jugador120,Jugador344","Jugador30,Jugador129,Jugador13,Jugador372,Jugador382,Jugador387,Jugador385,Jugador281,Jugador55,Jugador97,Jugador70",Jugador141,Jugador287;Jugador288,,,
5,1,Wolves,Chelsea,2,1,Jugador231;Jugador199;Jugador343,Jugador150;Jugador372,,"Jugador302,Jugador109,Jugador280,Jugador146,Jugador346,Jugador88,Jugador90,Jugador49,Jugador34,Jugador218,Jugador94","Jugador128,Jugador384,Jugador284,Jugador141,Jugador240,Jugador39,Jugador393,Jugador20,Jugador88,Jugador165,Jugador34",Jugador262;Jugador20;Jugador350;Jugador367;Jugador321,,,,
6,1,Burnley,Bournemouth,3,1,Jugador144;Jugador78;Jugador251;Jugador362,Jugador240;Jugador127;Jugador220,,"Jugador136,Jugador9,Jugador107,Jugador182,Jugador192,Jugador291,Jugador86,Jugador287,Jugador314,Jugador374,Jugador221","Jugador43,Jugador338,Jugador39,Jugador282,Jugador360,Jugador339,Jugador172,Jugador259,Jugador140,Jugador72,Jugador208",Jugador70;Jugador340;Jugador301;Jugador237,Jugador309,,,
7,1,Newcastle,Manchester City,0,4,Jugador15;Jugador153;Jugador30;Jugador186,Jugador89;Jugador91;Jugador171,,"Jugador308,Jugador91,Jugador47,Jugador135,Jugador177,Jugador152,Jugador258,Jugador195,Jugador274,Jugador280,Jugador189","Jugador79,Jugador252,Jugador248,Jugador142,Jugador53,Jugador341,Jugador127,Jugador113,Jugador137,Jugador187,Jugador383",Jugador88;Jugador395,Jugador223;Jugador313,,,
8,1,Everton,Nottingham Forest,2,4,Jugador336;Jugador8;Jugador93;Jugador221;Jugador170;Jugador381,Jugador400;Jugador356;Jugador242;Jugador170;Jugador286,,"Jugador301,Jugador63,Jugador237,Jugador163,Jugador186,Jugador363,Jugador245,Jugador291,Jugador90,Jugador178,Jugador114","Jugador303,Jugador363,Jugador6,Jugador122,Jugador245,Jugador274,Jugador235,Jugador73,Jugador168,Jugador151,Jugador376",Jugador315;Jugador108;Jugador4;Jugador335,Jugador324;Jugador227,,,
9,1,Brentford,Sheffield United,4,1,Jugador21;Jugador279;Jugador355;Jugador66;Jugador44,Jugador278;Jugador28;Jugador236;Jugador50,,"Jugador351,Jugador122,Jugador290,Jugador383,Jugador352,Jugador77,Jugador157,Jugador73,Jugador254,Jugador355,Jugador319","Jugador298,Jugador60,Jugador162,Jugador213,Jugador122,Jugador229,Jugador238,Jugador372,Jugador108,Jugador264,Jugador110",,,,,
10,1,Manchester United,Liverpool,1,2,Jugador94;Jugador273;Jugador379,Jugador359;Jugador156,,"Jugador307,Jugador333,Jugador355,Jugador346,Jugador13,Jugador4,Jugador205,Jugador201,Jugador249,Jugador72,Jugador169","Jugador97,Jugador71,Jugador345,Jugador125,Jugador318,Jugador331,Jugador168,Jugador14,Jugador44,Jugador13,Jugador123",,Jugador338,,,
